adulteration_id,product_name,brand,category,adulterant,detection_date,detection_method,severity,health_risk,action_taken
1,Butter,BrandB,Meat,Artificial sweeteners,5/11/2024,Microbiological Analysis,Moderate,Low,Product Recall
2,Chicken,BrandC,Dairy,Coloring agents,5/23/2024,Sensory Evaluation,Severe,Medium,Warning Issued
3,Yogurt,BrandC,Meat,Artificial sweeteners,2/17/2024,Sensory Evaluation,Severe,High,Investigation Launched
4,Wine,BrandB,Beverages,Coloring agents,5/16/2024,Spectroscopy,Minor,Medium,Product Recall
5,Bread,BrandD,Dairy,Water,6/6/2024,Chemical Analysis,Severe,Medium,Warning Issued
6,Wine,BrandD,Dairy,Melamine,5/12/2024,Microbiological Analysis,Severe,Medium,Investigation Launched
7,Beef,BrandC,Meat,Melamine,4/1/2024,Chemical Analysis,Minor,Medium,Investigation Launched
8,Juice,BrandD,Beverages,Melamine,3/18/2024,Chemical Analysis,Moderate,High,Fine Imposed
9,Chicken,BrandC,Meat,Artificial sweeteners,6/14/2024,Microbiological Analysis,Minor,Low,Investigation Launched
10,Milk,BrandA,Bakery,Melamine,4/23/2024,Spectroscopy,Moderate,Medium,Fine Imposed
11,Cheese,BrandA,Beverages,Coloring agents,2/25/2024,Sensory Evaluation,Moderate,Low,Investigation Launched
12,Milk,BrandA,Condiments,Melamine,3/7/2024,Sensory Evaluation,Moderate,Low,Warning Issued
13,Bread,BrandC,Dairy,Chalk,4/1/2024,Chemical Analysis,Minor,High,Product Recall
14,Beef,BrandA,Meat,Chalk,6/13/2024,Chemical Analysis,Moderate,Medium,Warning Issued
15,Juice,BrandA,Condiments,Melamine,4/13/2024,Sensory Evaluation,Severe,Low,Investigation Launched
16,Honey,BrandB,Bakery,Melamine,5/13/2024,Spectroscopy,Minor,Medium,Investigation Launched
17,Wine,BrandE,Beverages,Melamine,4/7/2024,Chemical Analysis,Severe,Low,Product Recall
18,Yogurt,BrandB,Bakery,Chalk,6/10/2024,Spectroscopy,Moderate,High,Investigation Launched
19,Honey,BrandE,Beverages,Melamine,3/3/2024,Spectroscopy,Minor,Medium,Fine Imposed
20,Honey,BrandC,Condiments,Coloring agents,4/19/2024,Microbiological Analysis,Moderate,Low,Investigation Launched
21,Wine,BrandE,Dairy,Coloring agents,4/19/2024,Spectroscopy,Moderate,Medium,Fine Imposed
22,Cheese,BrandA,Dairy,Melamine,3/18/2024,Microbiological Analysis,Moderate,High,Fine Imposed
23,Wine,BrandD,Beverages,Coloring agents,2/5/2024,Spectroscopy,Severe,Low,Product Recall
24,Milk,BrandE,Meat,Melamine,3/17/2024,Sensory Evaluation,Minor,Medium,Warning Issued
25,Juice,BrandC,Dairy,Coloring agents,2/26/2024,Chemical Analysis,Moderate,High,Investigation Launched
26,Honey,BrandE,Meat,Chalk,6/14/2024,Chemical Analysis,Severe,High,Warning Issued
27,Chicken,BrandE,Condiments,Coloring agents,3/20/2024,Spectroscopy,Minor,Low,Warning Issued
28,Cheese,BrandC,Dairy,Chalk,3/25/2024,Sensory Evaluation,Moderate,Medium,Investigation Launched
29,Beef,BrandC,Meat,Melamine,5/19/2024,Spectroscopy,Moderate,High,Product Recall
30,Beef,BrandE,Meat,Melamine,5/30/2024,Spectroscopy,Moderate,Medium,Product Recall
31,Chicken,BrandA,Condiments,Water,1/2/2024,Microbiological Analysis,Minor,Medium,Fine Imposed
32,Honey,BrandB,Bakery,Melamine,6/16/2024,Spectroscopy,Moderate,High,Fine Imposed
33,Yogurt,BrandE,Beverages,Chalk,6/2/2024,Microbiological Analysis,Moderate,Medium,Investigation Launched
34,Honey,BrandD,Bakery,Water,6/5/2024,Spectroscopy,Severe,High,Fine Imposed
35,Juice,BrandE,Meat,Water,6/9/2024,Spectroscopy,Moderate,Low,Product Recall
36,Honey,BrandE,Beverages,Melamine,1/31/2024,Microbiological Analysis,Severe,Medium,Warning Issued
37,Yogurt,BrandA,Condiments,Water,2/19/2024,Microbiological Analysis,Moderate,High,Investigation Launched
